,gender,age_at_enrollment,city_of_residence,enroll_after_hs_or_college,avg_high_school_score,favorite_subjects,math_score,russian_score,first_choice_subject_score,second_choice_subject_score,english_proficiency,university_faculty,field_of_study,program_satisfaction,interest_in_extracurriculars,sportiness,importance_of_budget_admission,visited_open_day,self_organization_ability,tutoring_experience,advanced_subjects_in_school,additional_subjects_on_exams,olympiad_success,pre_university_interests,time_for_self_development,admission_method,id
733,0,18,подольск,после 11 класса,4.5,"русский язык, математика, литература, информатика",70.0,78.0,55.0,54.0,могу общаться в повседневных ситуациях,ит (информационные технологии),09.03.02 информационные системы и технологии,7,готов сходить на пару заинтересовавших мероприятий,люблю физические нагрузки в умеренном количестве,не очень важно,False,максимум - выполнение дома заданий от преподавателя,False,unknown,"иностранный язык, обществознание, информатика",False,unknown,несколько часов в неделю,баллы егэ,93f8f2a4-10d1-47e7-a01a-5ff16d4d3d2c
734,1,17,москва,после 11 класса,4.5,"литература, обществознание",64.0,67.0,67.0,62.0,могу читать несложные диалоги,ит (информационные технологии),09.03.02 информационные системы и технологии,3,готов сходить на пару заинтересовавших мероприятий,люблю физические нагрузки в умеренном количестве,не очень важно,False,готов почитать несколько статей по теме предмета,True,unknown,"обществознание, информатика",False,unknown,около 10 часов в неделю,баллы егэ,edf1f814-1743-421f-b57e-d8d12f9d162f
735,1,19,москва,после 11 класса,4.5,"математика, иностранный язык, обществознание, информатика",84.0,82.0,74.0,0.0,могу общаться в повседневных ситуациях,кииб (кибернетика и информационная безопасность),01.03.02 прикладная математика и информатика. прикладная математика и программирование,6,готов сходить на пару заинтересовавших мероприятий,предпочитаю лишний раз не двигаться,важно,False,максимум - выполнение дома заданий от преподавателя,True,"математика, информатика",информатика,False,unknown,несколько часов в неделю,баллы егэ,62ad8f97-7098-4efc-934f-f40bf69fe9fd
736,0,17,москва,после 11 класса,4.5,"математика, иностранный язык, физика, информатика",84.0,87.0,87.0,0.0,"могу коммуницировать с носителями, частично знаю деловую речь",кииб (кибернетика и информационная безопасность),10.03.01 информационная безопасность,4,готов сходить на пару заинтересовавших мероприятий,регулярно занимаюсь любимым видом спорта / в тренажерном зале,важно,False,готов почитать несколько статей по теме предмета,True,"математика, физика, информатика",физика,False,"программирование, компьютерное 3d-моделирование, инженерная деятельность, эксперименты (лабораторные опыты) связанные с химией/физикой",около 10 часов в неделю,баллы егэ,a2bddf39-2b18-404e-a5a0-8838ef65d599
737,1,18,смоленск,после 11 класса,4.5,"обществознание, информатика",72.0,89.0,77.0,0.0,могу общаться в повседневных ситуациях,ит (информационные технологии),09.03.01 информатика и вычислительная техника,6,готов сходить на пару заинтересовавших мероприятий,нахожусь на профессиональном / полу-профессиональном уровне в своем виде спорта,обязательно,False,изучу всё связанное с темой предмета,True,"математика, физика, информатика",информатика,True,программирование,больше 10 часов в неделю,баллы егэ,5f4f2ce3-1e23-42af-ae96-6047951a1be8
738,1,18,брянск,после 11 класса,4.5,"математика, информатика",74.0,69.0,65.0,0.0,обладаю базовым словарным запасом,сисс (сети и системы связи),11.03.02 инфокоммуникационные технологии и системы связи (рит),8,готов сходить на пару заинтересовавших мероприятий,регулярно занимаюсь любимым видом спорта / в тренажерном зале,обязательно,False,готов почитать несколько статей по теме предмета,True,unknown,информатика,False,unknown,несколько часов в неделю,баллы егэ,999737b2-14de-4fcb-b161-b60a86b97571
739,1,17,казань,после 11 класса,4.0,"математика, информатика",72.0,70.0,67.0,0.0,могу общаться в повседневных ситуациях,рит (радио и телевидение),11.03.02 инфокоммуникационные технологии и системы связи (рит),5,готов сходить на пару заинтересовавших мероприятий,люблю физические нагрузки в умеренном количестве,важно,False,максимум - выполнение дома заданий от преподавателя,False,unknown,информатика,False,"программирование, инженерная деятельность",минимальное количество времени,баллы егэ,6ed6ab4a-3493-41c5-aef9-46345aa446f7
740,1,17,москва,после 11 класса,4.0,"математика, иностранный язык, история, физика, информатика",58.0,82.0,96.0,54.0,"могу коммуницировать с носителями, частично знаю деловую речь",ит (информационные технологии),09.03.01 информатика и вычислительная техника,5,только учеба,регулярно занимаюсь любимым видом спорта / в тренажерном зале,важно,False,готов почитать несколько статей по теме предмета,False,"математика, информатика","иностранный язык, информатика",False,программирование,несколько часов в неделю,баллы егэ,5d9b53ba-c4f7-4a79-923f-1c2d7b83e5dd
741,1,17,химки,после 11 класса,4.0,"русский язык, математика",66.0,82.0,70.0,0.0,могу общаться в повседневных ситуациях,сисс (сети и системы связи),11.03.02 инфокоммуникационные технологии и системы связи (сисс),6,только учеба,люблю физические нагрузки в умеренном количестве,важно,False,максимум - выполнение дома заданий от преподавателя,False,"физика, информатика",информатика,False,unknown,несколько часов в неделю,баллы егэ,1ddc905e-3f09-47fc-aaea-5c662ee797e1
742,1,18,москва,после 11 класса,4.5,информатика,76.0,75.0,89.0,0.0,могу читать несложные диалоги,рит (радио и телевидение),09.03.02 информационные системы и технологии,6,только учеба,люблю физические нагрузки в умеренном количестве,обязательно,False,готов почитать несколько статей по теме предмета,False,информатика,информатика,False,программирование,около 10 часов в неделю,баллы егэ,59faabc0-4c8c-468a-bf93-1cc0c18d85a6
743,1,12,атлантида,перевод из другого учебного заведения,3.0,"русский язык, литература, иностранный язык, история, биология, география, обществознание",100.0,100.0,100.0,100.0,знаю примерно на уровне носителя языка,кииб (кибернетика и информационная безопасность),09.03.01 информатика и вычислительная техника,0,только учеба,нахожусь на профессиональном / полу-профессиональном уровне в своем виде спорта,обязательно,False,максимум - выполнение дома заданий от преподавателя,True,"русский язык, литература, иностранный язык, история, биология, география, обществознание","литература, иностранный язык, история, биология, география, обществознание",True,"программирование, компьютерное 3d-моделирование, робототехника, инженерная деятельность, эксперименты (лабораторные опыты) связанные с химией/физикой",минимальное количество времени,моя мама заплатила ректору приличную сумму,5fbff938-17fd-4c84-8b50-6eaa9f54606c
